2023-01-29 09:05:56.972: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.7641344620320185, walkTest: true, walkWithEss: true, y: 1.7641344620320185, disDir: 16.96343947402229, disDirY: 3.112170400128999. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.045: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.7008895306204674, walkTest: true, walkWithEss: true, y: 1.7008895306204674, disDir: 16.809518661516304, disDirY: 2.8930251953743142. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.07: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.6435079401076584, walkTest: true, walkWithEss: true, y: 1.6435079401076584, disDir: 16.667365323003377, disDirY: 2.7011183491969186. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.104: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.5912994980833952, walkTest: true, walkWithEss: true, y: 1.5912994980833952, disDir: 16.53239698872342, disDirY: 2.532234092600466. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.155: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.5439622414288687, walkTest: true, walkWithEss: true, y: 1.5439622414288687, disDir: 16.410684340012665, disDirY: 2.383819402958056. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.204: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.5011468879521497, walkTest: true, walkWithEss: true, y: 1.5011468879521497, disDir: 16.30649959848199, disDirY: 2.253441979208424. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.256: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.4624205910424923, walkTest: true, walkWithEss: true, y: 1.4624205910424923, disDir: 16.217424137659254, disDirY: 2.1386739851050725. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.307: (93ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.427390759446375, walkTest: true, walkWithEss: true, y: 1.427390759446375, disDir: 16.141395981332746, disDirY: 2.037444380152899. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.355: (93ms) 99% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.3957016285227188, walkTest: true, walkWithEss: true, y: 1.3957016285227188, disDir: 16.07665392118163, disDirY: 1.9479830358609695. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.414: (93ms) 98% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.3668429759152387, walkTest: true, walkWithEss: true, y: 1.3668429759152387, disDir: 16.021176503251976, disDirY: 1.868259720808826. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
2023-01-29 09:05:57.463: (93ms) 97% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 1.3404842734411317, walkTest: true, walkWithEss: true, y: 1.3404842734411317, disDir: 15.973596016093971, disDirY: 1.7968980873429987. Player version: V1_18. TPS: [19.99995486676852, 19.999996974867123, 20.000000066200002]
