2022-05-18 17:37:27.049: (126ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000110478632, walkTest: true, walkWithEss: true, y: 2.1274000110478632, disDir: 4.531977367245705, disDirY: 4.525830807006448. Player version: V1_18. TPS: [19.99997332136892, 19.999997455400322, 19.999998180577943]
2022-05-18 17:39:07.13: (140ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000120442187, walkTest: true, walkWithEss: true, y: 2.1274000120442187, disDir: 4.5319773714850005, disDirY: 4.525830811245742. Player version: V1_18. TPS: [20.000053093807615, 20.0000035576673, 20.00000137353343]
2022-05-18 17:39:07.189: (140ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000120442187, walkTest: true, walkWithEss: true, y: 2.1274000120442187, disDir: 4.5319773714850005, disDirY: 4.525830811245742. Player version: V1_18. TPS: [20.000053093807615, 20.0000035576673, 20.00000137353343]
2022-05-18 17:39:22.884: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.098000004049243, walkTest: true, walkWithEss: true, y: 2.098000004049243, disDir: 4.406833283972463, disDirY: 4.401604016990624. Player version: V1_18. TPS: [20.001133596581752, 20.000005865935055, 20.000001691800144]
2022-05-18 17:39:23.087: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.098000004049243, walkTest: true, walkWithEss: true, y: 2.098000004049243, disDir: 4.4060528846666775, disDirY: 4.401604016990624. Player version: V1_18. TPS: [20.001133596581752, 20.000005865935055, 20.000001691800144]
2022-05-18 17:39:23.14: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.098000004049243, walkTest: true, walkWithEss: true, y: 2.098000004049243, disDir: 4.453150474871348, disDirY: 4.401604016990624. Player version: V1_18. TPS: [20.001133596581752, 20.000005865935055, 20.000001691800144]
2022-05-18 17:39:23.181: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.098000004049243, walkTest: true, walkWithEss: true, y: 2.098000004049243, disDir: 4.407750577229882, disDirY: 4.401604016990624. Player version: V1_18. TPS: [20.001133596581752, 20.000005865935055, 20.000001691800144]
2022-05-18 17:39:23.243: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.098000004049243, walkTest: true, walkWithEss: true, y: 2.098000004049243, disDir: 4.407750577229882, disDirY: 4.401604016990624. Player version: V1_18. TPS: [20.001133596581752, 20.000005865935055, 20.000001691800144]
2022-05-18 17:39:23.281: (0ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.0, walkTest: true, walkWithEss: true, y: 2.0, disDir: 4.006146560239259, disDirY: 4.000000000000001. Player version: V1_18. TPS: [20.001133596581752, 20.000005865935055, 20.000001691800144]
2022-05-18 17:39:39.994: (41ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000133937307, walkTest: true, walkWithEss: true, y: 2.1274000133937307, disDir: 4.531275701179948, disDirY: 4.525830816987646. Player version: V1_18. TPS: [20.00004260375742, 20.000003311867214, 20.000066187752374]
2022-05-18 17:39:40.052: (41ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000133937307, walkTest: true, walkWithEss: true, y: 2.1274000133937307, disDir: 4.531060083969486, disDirY: 4.525830816987646. Player version: V1_18. TPS: [20.00004260375742, 20.000003311867214, 20.000066187752374]
2022-05-18 17:39:40.098: (41ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000133937307, walkTest: true, walkWithEss: true, y: 2.1274000133937307, disDir: 4.530853005192496, disDirY: 4.525830816987646. Player version: V1_18. TPS: [20.00004260375742, 20.000003311867214, 20.000066187752374]
2022-05-18 17:39:40.172: (41ms) 100% SPEED > On ground. WalkSpeed: 0.1599999964237213, Distance from/to: 2.1274000133937316, walkTest: true, walkWithEss: true, y: 2.1274000133937316, disDir: 4.5306541267273355, disDirY: 4.525830816987649. Player version: V1_18. TPS: [20.00004260375742, 20.000003311867214, 20.000066187752374]
